DateTime,Location,Lattitude,Longitude,AirQualityLevel,Temperature,Humidity,HeatIndex,CO,CO2,Ethanol,NH4,Toluene,Acetone,DustDensity
02/21/2023 10:41:05,"X2CV QFM, Malayambakkam, Tamil Nadu 602109, India
",12.97229,80.04359,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:41:27,"X2CV QFM, Malayambakkam, Tamil Nadu 602109, India
",12.97229,80.04359,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:41:58,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04358,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:43:47,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04358,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:44:40,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04358,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:46:56,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04358,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:46:58,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97227,80.04358,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:46:59,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97219,80.04354,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:47:03,"X2CV QFM, Malayambakkam, Tamil Nadu 602109, India
",12.97219,80.04355,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:47:07,"X2CV QFM, Malayambakkam, Tamil Nadu 602109, India
",12.97221,80.04356,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:47:32,"X2CV QFM, Malayambakkam, Tamil Nadu 602109, India
",12.97222,80.04354,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 10:52:39,"483, Devi Karumari Amman Nagar, Medavakkam, Kancheepuram, Tamil Nadu 600069, India
",12.97185,80.04414,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 11:50:16,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97225,80.04352,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 11:52:06,"X2CV QFM, Malayambakkam, Tamil Nadu 602109, India
",12.97223,80.04362,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 11:52:09,"X2CV QFM, Malayambakkam, Tamil Nadu 602109, India
",12.97223,80.04362,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 11:52:17,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97226,80.04352,Good,31.3C,36%,65.89C,1.49 PPM,545.75 PPM,31.55 PPM,20.2 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 11:52:33,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97224,80.04354,Good,54.1C,22%,68.29C,0.1 PPM,85.05 PPM,3.82 PPM,3.8 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 11:52:34,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97224,80.04353,Good,54.1C,22%,68.29C,0.1 PPM,85.05 PPM,3.82 PPM,3.8 PPM,2.1 PPM,10.41 PPM,0
02/21/2023 11:52:35,"X2CV V88 Park, Malayambakkam, Tamil Nadu 602109, India
",12.97224,80.04353,Good,54.1C,22%,68.29C,0.1 PPM,85.05 PPM,3.82 PPM,3.8 PPM,0.21 PPM,10.41 PPM,0
02/21/2023 11:53:03,"X2CV QFM, Malayambakkam, Tamil Nadu 602109, India
",12.9723,80.0436,Good,54.1C,22%,68.29C,0.1 PPM,85.05 PPM,3.82 PPM,3.8 PPM,0.21 PPM,1.09 PPM,0
